	no match	probability was too low
ж.андр.юр	no match	probability was too low
ж.андр.юрод	Ж.Андр.Юрод.	100
ж.андр.юрод.1	Ж.Андр.Юрод.1	100
ж.ант	Ж.Ант.С.	95
ж.ант.новг	no match	probability was too low
ж.ант.римл	Ж.Ант.Римл.	100
ж.ант.с	Ж.Ант.С.	100
ж.ант.с.ц	Ж.Ант.С.ц.	100
ж.ант.с.ц	Ж.Ант.С.ц.	100
ж.ант.с.ц	Ж.Ант.С.ц.	100
ж.арс.тв	Ж.Арс.Тв.	100
ж.арт.верк	no match	probability was too low
ж.афан	Ж.Афан.	100
ж.бор.глеб	no match	probability was too low
ж.бор.глеб (вар.)	no match	probability was too low
ж.бор.глеб (чтен.)	Ж.Бор.Глеб. (чтен.)	97
ж.бор.глеб	no match	probability was too low
ж.бор.глеб.(вар.)	no match	probability was too low
ж.бор.глеб.(пар.)	Ж.Бор.Глеб.(пар.)	100
ж.бор.глеб.(прол.)	Ж.Бор.Глеб.(прол.)	100
ж.бор.глеб.(чтен.)	Ж.Бор.Глеб. (чтен.)	97
ж.бор.глеб.(чтен.)	Ж.Бор.Глеб. (чтен.)	97
ж.борглеб.(чтен.)	Ж.Бор.Глеб. (чтен.)	94
ж.варл	Ж.Варл.П.	95
ж.варл.иоас	no match	probability was too low
ж.варл.иос	no match	probability was too low
ж.варл.п	Ж.Варл.П.	100
ж.варл.хут	Ж.Варл.Хут.	100
ж.вас.кон	Ж.Вас.Кон.	100
ж.вас.нов	Ж.Вас.Нов.	100
ж.вас.новг	Ж.Вас.Нов.	95
ж.герас.б	Ж.Герас.Б.	100
ж.герас.б.	Ж.Герас.Б.	100
ж.дан.пер	Ж.Дан.Пер.	100
ж.дан.пер.	Ж.Дан.Пер.	100
ж.дм.пр	Дм.Пр.	95
ж.евф.с	Ж.Евф.С.	100
ж.евфр.с	Ж.Евфр.С.	100
ж.епиф	Ж.Епиф.	100
ж.епиф.кипр	Ж.Епиф.Кипр.	100
ж.епиф.кипрск	no match	probability was too low
ж.ефр.н	Ж.Ефр.Н.	100
ж.зос.с	Ж.Зос.С.	100
ж.зос.с.1	Ж.Зос.С.1	100
ж.зос.с.2	Ж.Зос.С.2	100
ж.иак.боровицк	Ж.Иак.Боровиц.	96
ж.игн.в	Ж.Игн.В.	100
ж.ио.злат	Ж.Ио.Злат.	100
ж.ио.новг	Ж.Ио.Новг.	100
ж.ио.уст	Ж.Ио.Уст.	100
ж.иоас.к	Ж.Иоас.К.	100
ж.ионы мт	Ж.Ионы мт.	100
ж.иос.вол.1	Ж.Иос.Вол.1	100
ж.иос.вол.2	Ж.Иос.Вол.2	100
ж.иос.вол., 391	no match	probability was too low
ж.иос.вол.1	Ж.Иос.Вол.1	100
ж.иос.вол.2	Ж.Иос.Вол.2	100
ж.иос.вол.2	Ж.Иос.Вол.2	100
ж.иос.вол1	Ж.Иос.Вол.1	95
ж.иринарха	Ж.Иринарха	100
ж.ис.тв	Ж.Ис.Тв.	100
ж.ис.ю	Ж.Ис.Ю.	100
ж.кас.бос	Ж.Кас.Бос.	100
ж.кир.б	Ж.Кир.Б.	100
ж.конст.мур	Ж.Конст.Мур.	100
ж.конст.мур.1	Ж.Конст.Мур.1	100
ж.конст.фил	Ж.Конст.Фил.	100
ж.корн.ком	Ж.Корн.Ком.	100
ж.леонт.рост	Ж.Леонт.Рост.	100
ж.мак.ж	Ж.Мак.Ж.	100
ж.мак.каляз	Ж.Мак.Каляз.	100
ж.мефодия	Ж.Мефодия	100
ж.мих.клоп	Ж.Мих.Клоп.	100
ж.мих.клоп.1	Ж.Мих.Клоп.1	100
ж.мих.клоп.1	Ж.Мих.Клоп.1	100
ж.никандра крып	Ж.Никандра Крып.	100
ж.никит.пер	Ж.Никит.Пер.1	95
ж.никит.пер.1	Ж.Никит.Пер.1	100
ж.никит.пер.2	Ж.Никит.Пер.2	100
ж.никит.пер2	Ж.Никит.Пер.2	96
ж.никод.кож	Ж.Никод.Кож.	100
ж.никол.воин	no match	probability was too low
ж.николы	Ж.Николы	100
ж.нила сор	Ж.Нила Сор.	100
ж.нила столб	Ж.Нила Столб.	100
ж.нифонт	Ж.Нифонта	94
ж.нифонта	Ж.Нифонта	100
ж.павла обн	Ж.Павла Обн.1	95
ж.павла обн.2	Ж.Павла Обн.2	100
ж.павла.обн	Ж.Павла Обн.1	95
ж.паис	Ж.Паис.	100
ж.пафн.бор	Ж.Пафн.Бор.	100
ж.петра афон	Ж.Петра Афон.	100
ж.петра афон.1	Ж.Петра Афон.1	100
ж.пр.уст	Ж.Пр.Уст.1	95
ж.пр.уст.1	Ж.Пр.Уст.1	100
ж.пр.уст.1	Ж.Пр.Уст.1	100
ж.пр.уст.2	Ж.Пр.Уст.2	100
ж.пр.уст1	Ж.Пр.Уст.1	95
ж.пустоз.сб.1	Пустоз.сб.	95
ж.сав.звен	Ж.Сав.Звен.	100
ж.сав.осв	Ж.Сав.Осв.	100
ж.сав.осв.	Ж.Сав.Осв.	100
ж.сав.осв	Ж.Сав.Осв.	100
ж.сав.св	Ж.Сав.Осв.	94
ж.савы осв	Ж.Сав.Осв.	95
ж.серап.новг	Ж.Серап.Новг.	100
ж.серап.новг.1	Ж.Серап.Новг.1	100
ж.серг.нур	Ж.Серг.Нур.1	95
ж.серг.р	no match	probability was too low
ж.серг.р.аз	no match	probability was too low
ж.серг.р.епиф	Епиф.ж.Серг.	95
ж.серг.р.епиф.1	Ж.Серг.Р.Епиф.1	100
ж.серг.р.епиф.2	Ж.Серг.Р.Епиф.2	100
ж.серг.р.епиф.,2	Ж.Серг.Р.Епиф.2	97
ж.серг.р.епиф.1	Ж.Серг.Р.Епиф.1	100
ж.серг.р.епиф.2	Ж.Серг.Р.Епиф.2	100
ж.серг.р.епиф.3	Епиф.ж.Серг.	95
ж.серп р.епиф.2	no match	probability was too low
ж.сим.ст	no match	probability was too low
ж.сим.столп	no match	probability was too low
ж.симеона столп	Ж.Симеона Столп.	100
ж.стеф.махр	Ж.Стеф.Махр.	100
ж.стеф.пер.епиф	Ж.Стеф.Перм.Епиф.	97
ж.стеф.перм	Ж.Стеф.Перм.Епиф.	95
ж.стеф.перм.(епиф.)	Ж.Стеф.Перм.Епиф.	97
ж.стеф.перм.епиф	Ж.Стеф.Перм.Епиф.	100
ж.стеф.перм.епиф	Ж.Стеф.Перм.Епиф.	100
ж.стеф.перм.епиф.	Ж.Стеф.Перм.Епиф.	100
ж.стеф.перм.епиф	Ж.Стеф.Перм.Епиф.	100
ж.феод.едес	Ж.Феод.Едес.	100
ж.феодос.астрах	Ж.Феодос.Астрах.	100
ж.феодос.едес	no match	probability was too low
ж.феодос.нест	Ж.Феодос.Нест.	100
ж.фот.волокол	Ж.Фот.Волокол.	100
ж.фот.волоколам	no match	probability was too low
ж.и ч.николы	Ж.ич.Николы	96
ж.и ч.николы	Ж.ич.Николы	96
ж.кн.ольги	Ж.кн.Ольги	100
ж.кн.ольги псков	Ж.кн.Ольги псков.	100
ж.кн.ольги сильв	Ж.кн.Ольги Сильв.	100
ж.кн.ольги.сильв	Ж.кн.Ольги Сильв.	100
ж.мт.фил	Ж.мт.Фил.	100
ж.ти ант.с.ц	Ж.Ант.С.ц.	95
ж.ц.дм	Ж.ц.Дм.	100
ж.ц.дм.(чуд.)	no match	probability was too low
ж.ц.дм.мил	Ж.ц.Дм.Мил.	100
ж.ц.дм.тулуп	Ж.ц.Дм.Тулуп.	100
ж.ц.дм	Ж.ц.Дм.	100
ж.ц.дм.тулуп	Ж.ц.Дм.Тулуп.	100
ж.авр.смол	Ж.Авр.Смол.	100
ж.авр.чух	Ж.Авр.Чух.	100
ж.адр.п	Ж.Адр.П.	100
ж.ал.нев	Ж.Ал.Нев.	100
ж.ал.нев.(мал.)	Ж.Ал.Нев. (Мал.)	96
ж.ал.ош	Ж.Ал.Ош.	100
ж.ал.чел.бож	Ж.Ал.чел.бож.	100
ж.ал.чел.бож	Ж.Ал.чел.бож.	100
ж.андр.юрод	Ж.Андр.Юрод.	100
ж.андр.юрод.1	Ж.Андр.Юрод.1	100
ж.ант.с	Ж.Ант.С.	100
ж.ант.римл	Ж.Ант.Римл.	100
ж.ант.с	Ж.Ант.С.	100
ж.ант.с.ц	Ж.Ант.С.ц.	100
ж.арт.верк	no match	probability was too low
ж.бор.глеб	no match	probability was too low
ж.варл.п	Ж.Варл.П.	100
ж.вас.нов	Ж.Вас.Нов.	100
ж.герас.б	Ж.Герас.Б.	100
ж.герас.б	Ж.Герас.Б.	100
ж.дан.пер	Ж.Дан.Пер.	100
ж.дан.пер	Ж.Дан.Пер.	100
ж.дм.пр.2	Ж.Дм.Пр.2	100
ж.евфр.с	Ж.Евфр.С.	100
ж.евфр.с	Ж.Евфр.С.	100
ж.ефр.н	Ж.Ефр.Н.	100
ж.зос.с	Ж.Зос.С.	100
ж.зос.с.1	Ж.Зос.С.1	100
ж.игн.в	Ж.Игн.В.	100
ж.ио.злат	Ж.Ио.Злат.	100
ж.ио.новг	Ж.Ио.Новг.	100
ж.ио.уст	Ж.Ио.Уст.	100
ж.ионы мт	Ж.Ионы мт.	100
ж.иос.вол.2	Ж.Иос.Вол.2	100
ж.иос.вол.1	Ж.Иос.Вол.1	100
ж.иос.вол.2	Ж.Иос.Вол.2	100
ж.кондр	Ж.Кондр.	100
ж.конст.фил	Ж.Конст.Фил.	100
ж.корн.ком	Ж.Корн.Ком.	100
ж.леонт.рост	Ж.Леонт.Рост.	100
ж.леонт.рост	Ж.Леонт.Рост.	100
ж.мак.каляз	Ж.Мак.Каляз.	100
ж.мак.ж	Ж.Мак.Ж.	100
ж.мих.клоп	Ж.Мих.Клоп.	100
ж.мих.клоп.1	Ж.Мих.Клоп.1	100
ж.мих.твер	Ж.Мих.Твер.	100
ж.никит.пер.1	Ж.Никит.Пер.1	100
ж.нифонта	Ж.Нифонта	100
ж.павла обн	Ж.Павла Обн.1	95
ж.пафн.бор	Ж.Пафн.Бор.	100
ж.пафн.бор	Ж.Пафн.Бор.	100
ж.пр.уст.1	Ж.Пр.Уст.1	100
ж.пр.уст.2	Ж.Пр.Уст.2	100
ж.сав.осв	Ж.Сав.Осв.	100
ж.сав.осв	Ж.Сав.Осв.	100
ж.серап.новг	Ж.Серап.Новг.	100
ж.серап.новг.1	Ж.Серап.Новг.1	100
ж.серап.новг.1	Ж.Серап.Новг.1	100
ж.серг.р.епиф.2	Ж.Серг.Р.Епиф.2	100
ж.серг.епиф.2	Епиф.ж.Серг.	95
ж.серг.нур	Ж.Серг.Нур.1	95
ж.серг.р.епиф.2	Ж.Серг.Р.Епиф.2	100
ж.серг.р.епиф.1	Ж.Серг.Р.Епиф.1	100
ж.серг.р.епиф.2	Ж.Серг.Р.Епиф.2	100
ж.симеона столп	Ж.Симеона Столп.	100
ж.стеф.перм.епиф	Ж.Стеф.Перм.Епиф.	100
ж.стеф.перм	Ж.Стеф.Перм.Епиф.	95
ж.стеф.перм.епиф	Ж.Стеф.Перм.Епиф.	100
ж.стеф.перм.епиф	Ж.Стеф.Перм.Епиф.	100
ж.феод.едес	Ж.Феод.Едес.	100
ж.феодос.астрах	Ж.Феодос.Астрах.	100
ж.и ч.николы	Ж.ич.Николы	96
ж.кн.ольги	Ж.кн.Ольги	100
ж.кн.ольги сильв	Ж.кн.Ольги Сильв.	100
ж.мт.фил	Ж.мт.Фил.	100
ж.ц.дм	Ж.ц.Дм.	100
жал.гр.луневу	Жал.гр.Луневу	100
жал.гр.в.к.вас.вас.ив.пет	no match	probability was too low
жал.несуд.гр.конев.м	no match	probability was too low
жал.гр.тв.в.к.бор.ал	no match	probability was too low
жиг.феод.ст	no match	probability was too low
жит.авкс.28	no match	probability was too low
жит.авксент.16	no match	probability was too low
жит.ал.ч.бож.(златостр.xii в.)	no match	probability was too low
жит.алдр	no match	probability was too low
жит.алекс.мак	no match	probability was too low
жит.андр.юр	no match	probability was too low
жит.анны евфим	no match	probability was too low
жит.афан.мин.чет.апр.11.в	no match	probability was too low
жит.варл.иосаф	no match	probability was too low
жит.варл.и иос	no match	probability was too low
жит.варл.и иосаф	no match	probability was too low
жит.висар.мин.чет.июн	no match	probability was too low
жит.влас.2	no match	probability was too low
жит.гр.арм	no match	probability was too low
жит.григ.акраг	no match	probability was too low
жит.григ.арм	no match	probability was too low
жит.екат	no match	probability was too low
жит.еутх	no match	probability was too low
жит.ио.злат	no match	probability was too low
жит.ио.пост	no match	probability was too low
жит.ио.черн	no match	probability was too low
жит.кириак	no match	probability was too low
жит.коз.дам.чуд	no match	probability was too low
жит.козм.дам.чуд	no match	probability was too low
жит.конст.фил	no match	probability was too low
жит.макд.мин	no match	probability was too low
жит.мар.ег	no match	probability was too low
жит.меф	no match	probability was too low
жит.ниф	no match	probability was too low
жит.онуфр.мин.чет.июн	no match	probability was too low
жит.онуфр.мин.чет.июн	no match	probability was too low
жит.паис	no match	probability was too low
жит.памф	no match	probability was too low
жит.петр.аф.мин.чет.июн	no match	probability was too low
жит.петр.афон.мин.чет.июн	no match	probability was too low
жит.петр.берк.мин.чет.июн	no match	probability was too low
жит.пион	no match	probability was too low
жит.порф.28	no match	probability was too low
жит.сав.осв	no match	probability was too low
жит.св	no match	probability was too low
жит.сим.ст	no match	probability was too low
жит.сим.урод	no match	probability was too low
жит.стеф.перм	no match	probability was too low
жит.стеф.сурож	no match	probability was too low
жит.страт	no match	probability was too low
жит.триф	no match	probability was too low
жит.февр.мин.чет.июн	no match	probability was too low
жит.фед.сик	no match	probability was too low
жит.фед.сик.мин.чет.апр	no match	probability was too low
жит.фед.ст	no match	probability was too low
жит.фед.стр	no match	probability was too low
жит.фед.студ	no match	probability was too low
жит.фекл	no match	probability was too low
жит.феод.сик	no match	probability was too low
жит.феод.ст	no match	probability was too low
жит.феод.студ	Феод.Студ.	95
жит.фом.дерф.мин.чет.июн	no match	probability was too low
жит.харит	no match	probability was too low
жит.пр.елис.мин.чет.июн	no match	probability was too low
жит.прор.елис	no match	probability was too low
жит.св	no match	probability was too low
жит.св.григ.акраг	no match	probability was too low
жит.григ.арм	no match	probability was too low
жит.онуфр.мин.чет.июн	no match	probability was too low
жит.паис	no match	probability was too low
жит.св	no match	probability was too low
журн.петра	Журн.Петра, I	95
зсл	no match	probability was too low
зсл.(кр.)	ЗСЛ (кр.)	100
заб.maт	no match	probability was too low
заб.быт цариц	Заб.Быт цариц	100
заб.быт.цариц	Заб.Быт цариц	100
заб.дом.быт	Заб.Дом.быт, I	95
заб.дом.быт	Заб.Дом.быт, I	95
заб.ик	Заб.Ик.	100
заб.мат	Заб.Мат.I	95
заб.мет.пр	Заб.Мет.пр.	100
заб.разр	Заб.Разр.	100
заб.быт цариц	Заб.Быт цариц	100
заб.дом.быт	Заб.Дом.быт, I	95
заб.дом.быт	Заб.Дом.быт, I	95
заб.ик	Заб.Ик.	100
заб.мат	Заб.Мат.I	95
заб.мет.пр	Заб.Мет.пр.	100
заб.разр	Заб.Разр.	100
забчиц 2	no match	probability was too low
забчиц.2	no match	probability was too low
забчиц1	Забчиц1	100
забчиц1	Забчиц1	100
забчиц2	Забчиц2	100
зав.вен	no match	probability was too low
заговоры олон	Заговоры Олон.	100
задон (адр.)	Задон. (Адр.)	95
задон	Задон.	100
задон.(адр.)	Задон. (Адр.)	95
задон.(адр.)1	Задон. (Адр.)1	96
задон.(рж.)	Задон. (Рж.)	95
задон.(рж.)	Задон. (Рж.)	95
зак.греч	no match	probability was too low
зак.петра	Зак.Петра, I	95
зак.петра, i	Зак.Петра, I	100
зак.суд.люд	Зак.суд.люд.	100
зак.суд.люд.1	Зак.суд.люд.1	100
зак.а	Зак.а.	100
зак.суд.люд.1	Зак.суд.люд.1	100
зак.суд.люд	Зак.суд.люд.	100
зак.суд.люд.1	Зак.суд.люд.1	100
зап.(г.)	Зап. (Г.)	95
зап.ант.–сийск.м	Зап.Ант.-Сийск.м.	100
зап.ант.-сийск.м	Зап.Ант.-Сийск.м.	100
зап.жел	Зап.Жел.	100
зап.луговского	Зап.Луговского	100
зап.матв	Зап.Матв.	100
зап.матв.	Зап.Матв.	100
зап.кн.креп.а	Зап.кн.креп.а.	100
зап.кн.о прод.хл	Зап.кн.прод.хл.	95
зап.кн.прод.хл	Зап.кн.прод.хл.	100
зап.на кн.ст.печ	Зап. на кн.ст.печ.	97
зап.на кн.ст.печ	Зап. на кн.ст.печ.	97
зап.на ркп.воскр.м	Зап. на ркп.Воскр.м.	97
зап.на ркп.егорова	Зап. на ркп.Егорова	97
зап.на ркп.собр.егорова	Зап. на ркп.собр.Егорова	98
зап.на ркп.воскр.м	Зап. на ркп.Воскр.м.	97
зап.о разлуч	Зап. О разлуч.	96
зап.о разрис.сп.-пр.цер	no match	probability was too low
зап.при кн.упыр	no match	probability was too low
зап.прик.людей	Зап.прик.людей	100
зап.руб	Зап.руб.	100
зап.цер	Зап.цер.	100
зап.(г.)	Зап. (Г.)	95
зап.(с.)	Зап. (С.)	95
зап.луговского	Зап.Луговского	100
зап.кн.креп.а	Зап.кн.креп.а.	100
зап.прик.людей	Зап.прик.людей	100
зап.прик.людей	Зап.прик.людей	100
зап.прих.людей	no match	probability was too low
запись	no match	probability was too low
зас.черта	Зас.черта	100
зах.ii.1	no match	probability was too low
зах.vi.2	no match	probability was too low
зах.xi.17	no match	probability was too low
зем.пр	no match	probability was too low
земск.соб	Земск.соб.	100
зерцал	no match	probability was too low
зизаний.грам	Зизаний.Грам.	100
зин.отен.истины показ	Зин.Отен.Истины показ.	100
зин.отен.нов.посл	Зин.Отен.Нов.посл.	100
зин.отен.посл.многосл	Зин.Отен.Посл. многосл.	98
зин.отен.просл.ник	Зин.Отен.Просл.Ник.	100
зин.отен.сл.об ипатии	Зин.Отен. об Ипатии	95
зин.отен.сл.ч.ионы новг	Зин.Отен.Сл.ч.Ионы Новг.	100
зин.отен.сл.ч.ионы новг	Зин.Отен.Сл.ч.Ионы Новг.	100
зин.отен.сл.и ч.ионы новг	Зин.Отен.Сл.ч.Ионы Новг.	96
зл.цеп.д	no match	probability was too low
зл.цепь	no match	probability was too low
зластостр	Златостр.	94
зластостр.3	no match	probability was too low
злат.цеп	no match	probability was too low
злат.цеп.д	no match	probability was too low
златостр	Златостр.	100
златостр.(мал.)	Златостр. (Мал.)	96
златостр.xii в	no match	probability was too low
златостр.ак.н	no match	probability was too low
златостр.д	Златостр.	95
златостр.сл	Златостр.	95
златостр.1	Златостр.1	100
златостр.2	Златостр.2	100
златостр.3	Златостр.	95
златостр.4	Златостр.4	100
златостр3	Златостр.	94
златоструй	no match	probability was too low
златоструй	no match	probability was too low
златоструй3	no match	probability was too low
златоуст	no match	probability was too low
зос.с.ч	Зос.С.ч.	100
зос.с.ч	Зос.С.ч.	100
зос.с.чч	Зос.С.чч.	100
зос.с.ч	Зос.С.ч.	100
зос.с.чч	Зос.С.чч.	100
зот.разг.адм	Зот.Разг.адм.	100
зѣло злочестно есть.гражд.об.дет	no match	probability was too low
и бѣ ей невѣрно веление.палея ист	no match	probability was too low
и всего за иваномъ...пять пустошей.моск.припр.кн	no match	probability was too low
и кто сей есть истенный бог.пов.петре орд.1	no match	probability was too low
и недодано ему въ окладъ 269 чети съ осминою.д.моск.пом.пр	no match	probability was too low
и о.екз.бог	Ио.екз.Бог.	95
и останокъ дасть мужеви испити.требник	no match	probability was too low
и прозваша олга вещии.радзив.лет	no match	probability was too low
и сниде ничимъ же вредимь.патерик печ	no match	probability was too low
и то будетъ ...начало лживыхъ пророкъ.беседа вал.1	no match	probability was too low
и тѣмъ назмомъ землю назмятъ.косм.арс	no match	probability was too low
и.дамаскин	И.Дамаскин	100
и.дамаскин	И.Дамаскин	100
и.сир	no match	probability was too low
и.тим	no match	probability was too low
исз	no match	probability was too low
иак.iii, 9—10	no match	probability was too low
иак.бор.гл	no match	probability was too low
иак.ист	no match	probability was too low
иак.паз	no match	probability was too low
иак.ист	no match	probability was too low
иак.посл.дм.п	no match	probability was too low
ибо мы за младоумство еще невѣжди суще.азб	no match	probability was too low
ив.гр.пис	Ив.Гр.Пис.	100
ив.гр.посл	Ив.Гр.Посл.	100
ив.гр.королю швед	Ив.Гр.королю швед.	100
ив.гр.новг.гр	Ив.Гр.новг.гр.	100
ив.пересветов	Ив.Пересветов	100
ив.пересветов, соч	Ив.Пересветов.Соч.	97
ив.пересветов	Ив.Пересветов	100
ив.пересветов.соч	Ив.Пересветов.Соч.	100
ив.гр.посл	Ив.Гр.Посл.	100
ив.гр.посл	Ив.Гр.Посл.	100
ив.пересветов	Ив.Пересветов	100
иванов	Иванов	100
игн.бог.посл	no match	probability was too low
ие.екз.бог	no match	probability was too low
иез	no match	probability was too low
иез.i.13	no match	probability was too low
иер	no match	probability was too low
иер.li, 53	no match	probability was too low
иер.xxxii.2	no match	probability was too low
иер.xxxiv, 8	no match	probability was too low
иер.xxxvi, 22	no match	probability was too low
иерей потурчившийся	Иерей потурчившийся	100
иерус.огл	no match	probability was too low
из.св.1073 г	Изб.Св.1073 г.	96
изб св.1073 г	Изб.Св.1073 г.	100
изб	no match	probability was too low
изб.(бод.)	Изб. (Бод.)	95
изб.1073 г	Изб.Св.1073 г.	95
изб.1076 г	Изб.Св.1076 г.	95
изб.cб.1073 г	no match	probability was too low
изб.сб.1073 г	no match	probability was too low
изб.св	no match	probability was too low
изб.св.	no match	probability was too low
изб.св.1073 г	Изб.Св.1073 г.	100
изб.св.1073 г.1	Изб.Св.1073 г.1	100
изб.св.1073 г.2	Изб.Св.1073 г.2	100
изб.св.1073 г.2	Изб.Св.1073 г.2	100
изб.св.1076	Изб.Св.1076 г.	95
изб.св.1076 г	Изб.Св.1076 г.	100
изб.св.1073 г	Изб.Св.1073 г.	100
изб.св.1073 г.2	Изб.Св.1073 г.2	100
изб.св.1076 г	Изб.Св.1076 г.	100
изб.св.2	no match	probability was too low
изб.в.1073 г	Изб.Св.1073 г.	96
изб.д	no match	probability was too low
изб.св	no match	probability was too low
изб.св.1073 г	Изб.Св.1073 г.	100
изб.св.1073 г.1	Изб.Св.1073 г.1	100
изб.св.1073 г.2	Изб.Св.1073 г.2	100
изб.св.1076 г	Изб.Св.1076 г.	100
изб.св.1073 г	Изб.Св.1073 г.	100
изб.св.1073 г.1	Изб.Св.1073 г.1	100
изб.св.1073 г.2	Изб.Св.1073 г.2	100
изб.св.1076 г	Изб.Св.1076 г.	100
изв.св.1073 г	no match	probability was too low
извет о тобол.воев	Извет о Тобол.воев.	100
извет о тобол.воев	Извет о Тобол.воев.	100
изм	Изм.	100
измар	no match	probability was too low
иис.нав	no match	probability was too low
иис.нав.vii.9	no match	probability was too low
иис.нав.x.6	no match	probability was too low
ил.новг.поуч	no match	probability was too low
илар.зак.благ	no match	probability was too low
илар.исп.вер	Илар.Исп.веры	96
илар.исп.веры	Илар.Исп.веры	100
илар.посл	no match	probability was too low
илар.сл	Сл.Илар.	95
ильи	no match	probability was too low
имена знам.столп	Имена знам.столп.	100
имена знам.столп	Имена знам.столп.	100
ин.сказ	Ин.сказ.	100
ин.сказ	Ин.сказ.	100
ин.сказ	Ин.сказ.	100
ин.сказ	Ин.сказ.	100
иннок.зап	Иннок.Зап.	100
иннок.зап	Иннок.Зап.	100
инстр.немчинову	Инстр.Немчинову	100
ио .екз.бог	Ио.екз.Бог.	95
ио екз.бог	Ио.екз.Бог.	100
ио, леств.1	Ио.Леств.	95
ио.jiectb.1	no match	probability was too low
ио.x, 1	no match	probability was too low
ио.дам.диал.пер.ио.екз	no match	probability was too low
ио.дам.пер.ио.екз	no match	probability was too low
ио.дом.перев.ио.екз	no match	probability was too low
ио.екз.бог.1	Ио.екз.Бог.	95
ио.злат	Ж.Ио.Злат.	95
ио.злат.ант	no match	probability was too low
ио.злат.сл.въ св.пят	no match	probability was too low
ио.злат.сл.о ио.пр.мин.чет.июн	no match	probability was too low
ио.злат.сл.о ио.пр.мин.чет.июн	no match	probability was too low
ио.злат.въ сбор.троиц	no match	probability was too low
ио.лест	no match	probability was too low
ио.леств	Ио.Леств.	100
ио.леств.1	Ио.Леств.1	100
ио.леств.3	Ио.Леств.3	100
ио.лѣст	no match	probability was too low
ио.митр.поcл.клим	no match	probability was too low
ио.екз	no match	probability was too low
ио.екз.бoг.1	no match	probability was too low
ио.екз.бог	Ио.екз.Бог.	100
ио.екз.бог.1	Ио.екз.Бог.	95
ио.екз.бог.1 i	Ио.екз.Бог.1, I	97
ио.екз.бог.;	Ио.екз.Бог.	100
ио.екз.бог1	Ио.екз.Бог.	95
ио.екз.бог1	Ио.екз.Бог.	95
ио.екз.шест	no match	probability was too low
ио.екз.шест	no match	probability was too low
ио.екз.шест.1	no match	probability was too low
ио.екз.бог	Ио.екз.Бог.	100
ио.екз.бог.1	Ио.екз.Бог.	95
ио.леств.1	Ио.Леств.1	100
ио.екз.бог	Ио.екз.Бог.	100
ио.екз.бог.1	Ио.екз.Бог.	95
ио.екз.бог.1	Ио.екз.Бог.	95
иоан	no match	probability was too low
иоас.корм	no match	probability was too low
иоас.сб	no match	probability was too low
иоас.корм	no match	probability was too low
иоасаф.лет	no match	probability was too low
иоасаф.лет	no match	probability was too low
иов	no match	probability was too low
иов.ап.тир	no match	probability was too low
иов.и.и февронии1	no match	probability was too low
иов.кат.-ростовского	no match	probability was too low
иов.ульян.осор	no match	probability was too low
иов., xiii, 12	no match	probability was too low
иова	no match	probability was too low
иок.екз.шест	no match	probability was too low
ионы мт.ч	Ион.мт.Ч.	94
ионы мт.ч	Ион.мт.Ч.	94
иос.вол.посл	Иос.Вол.Посл.	100
иос.вол.посл.кут	Иос.Вол.Посл.Кут.	100
иос.вол.посл.тр	Иос.Вол.Посл.Тр.	100
иос.вол.просветитель	Иос.Вол.Просветитель	100
иос.вол.сл.об	Иос.Вол.Сл.об.	100
иос.корм	no match	probability was too low
иос.вол.просветитель	Иос.Вол.Просветитель	100
иос.вол.посл	Иос.Вол.Посл.	100
иос.вол.просветитель	Иос.Вол.Просветитель	100
иосиф	Иосиф	100
ипат лет	Ипат.лет.	100
ипат.лет	Ипат.лет.	100
ипат.лет.	Ипат.лет.	100
ипат.лет	Ипат.лет.	100
ипол.дан	no match	probability was too low
иппол.дан	no match	probability was too low
ирм	no match	probability was too low
ирм.(алф.)	no match	probability was too low
ирм.(амф.)	Ирм. (Амф.)	95
ирм.(к.)	Ирм. (К.)	95
ирм.boскр	no match	probability was too low
ирм.воскр	Ирм.Воскр.	100
ирм.сол.м	Ирм.Сол.м.	100
ирм.о	no match	probability was too low
ирм.ок	no match	probability was too low
ирм.ок.1250 г	no match	probability was too low
ирм.ок.1250 г.?	no match	probability was too low
ирм.(алф.)	no match	probability was too low
ирм.(амф.)	Ирм. (Амф.)	95
ис	no match	probability was too low
ис.i, 18	no match	probability was too low
ис.i, 31	no match	probability was too low
ис.lii.15	no match	probability was too low
ис.lviii, 12	no match	probability was too low
ис.lviii, 6	no match	probability was too low
ис.lviii.5	no match	probability was too low
ис.vi, 1	no match	probability was too low
ис.xliv, 28 (упыр)	no match	probability was too low
ис.xx, 5	no match	probability was too low
ис.xxi, 16	no match	probability was too low
ис.и варн	Ис. и Варн.	95
исидоров соб	Исидоров соб.	100
исих.пресвит	no match	probability was too low
исих.пресв	no match	probability was too low
исих.пресв.к феодул	no match	probability was too low
ист	no match	probability was too low
ист.ал.рос.двор	Ист.Ал.рос.двор.	100
ист.пар.вен	Ист.Пар.Вен.	100
ист.трои	Ист.Трои	100
ист.трои1	Ист.Трои1	100
ист.троп.1	no match	probability was too low
ист.ересей	Ист.ересей	100
ист.коннозав.д.(зезюл.)	Ист.коннозав.д. (Зезюл.)	98
ист.куп.иоан	Ист.куп.Иоан.	100
ист.о голом	Ист.о голом	100
ист.о патр.иове	Ист. о патр.Иове	97
