	no match	probability was too low
Жит. Фед. Студ.	no match	probability was too low
Жит. Фекл.	no match	probability was too low
Жит. Феод. Сик.	no match	probability was too low
Жит. Феод. Ст.	no match	probability was too low
Жит. Феод. Студ.	no match	probability was too low
Жит. Фом. Дерф. Мин. чет. июн.	no match	probability was too low
Жит. Харит.	no match	probability was too low
Жит. пр. Елис. Мин. чет. июн.	no match	probability was too low
Жит. прор. Елис.	no match	probability was too low
Жит. св.	no match	probability was too low
Жит. св. Григ. Акраг.	no match	probability was too low
Жит.Григ.Арм.	no match	probability was too low
Жит.Онуфр.Мин.чет. июн.	no match	probability was too low
Жит.Паис.	no match	probability was too low
Жит.св.	no match	probability was too low
Журн. Петра	Журн.Петра, I	95
ЗСЛ	no match	probability was too low
ЗСЛ. (кр.)	ЗСЛ (кр.)	95
Заб. Maт.	no match	probability was too low
Заб. Быт цариц	Заб.Быт цариц	96
Заб. Быт. цариц	Заб.Быт цариц	95
Заб. Дом. быт	Заб.Дом.быт, I	95
Заб. Дом. быт.	Заб.Дом.быт, I	95
Заб. Ик.	Заб.Ик.	95
Заб. Мат.	Заб.Мат.I	95
Заб. Мет. пр.	Заб.Мет.пр.	95
Заб. Разр.	Заб.Разр.	95
Заб.Быт цариц	Заб.Быт цариц	100
Заб.Дом. быт.	Заб.Дом.быт, I	95
Заб.Дом.быт.	Заб.Дом.быт, I	95
Заб.Ик.	Заб.Ик.	100
Заб.Мат.	Заб.Мат.I	95
Заб.Мет.пр.	Заб.Мет.пр.	100
Заб.Разр.	Заб.Разр.	100
Забчиц 2	no match	probability was too low
Забчиц.2	no match	probability was too low
Забчиц1	Забчиц1	100
Забчиц1.	Забчиц1	100
Забчиц2	Забчиц2	100
Зав. Вен.	no match	probability was too low
Заговоры Олон.	Заговоры Олон.	100
Задон (Адр.)	Задон. (Адр.)	95
Задон.	Задон.	100
Задон. (Адр.)	Задон. (Адр.)	100
Задон. (Адр.)1	Задон. (Адр.)1	100
Задон. (Рж.)	Задон. (Рж.)	100
Задон.(Рж.)	Задон. (Рж.)	95
Зак. Греч.	no match	probability was too low
Зак. Петра	Зак.Петра, I	95
Зак. Петра, I	Зак.Петра, I	96
Зак. Суд. люд.	Зак.суд.люд.	95
Зак. Суд. люд.1	Зак.суд.люд.	95
Зак. а.	Зак.а.	95
Зак. суд. люд.1	Зак.суд.люд.	95
Зак.суд.люд.	Зак.суд.люд.	100
Зак.суд.люд.1	Зак.суд.люд.1	100
Зап. (Г.)	Зап. (Г.)	100
Зап. Ант.- Сийск. м.	Зап.Ант.-Сийск.м.	95
Зап. Ант.-Сийск. м.	Зап.Ант.-Сийск.м.	95
Зап. Жел.	Зап.Жел.	95
Зап. Луговского	Зап.Луговского	97
Зап. Матв.	Зап.Матв.	95
Зап. Матв..	Зап.Матв.	95
Зап. кн. креп. а.	Зап.кн.креп.а.	95
Зап. кн. о прод. хл.	Зап.кн.прод.хл.	95
Зап. кн. прод. хл.	Зап.кн.прод.хл.	95
Зап. на кн. ст. печ.	Зап. на кн.ст.печ.	95
Зап. на кн.ст.печ.	Зап. на кн.ст.печ.	100
Зап. на ркп. Воскр. м.	Зап. на ркп.Воскр.м.	95
Зап. на ркп. Егорова	Зап. на ркп.Егорова	97
Зап. на ркп. собр. Егорова	Зап. на ркп.собр.Егорова	96
Зап. на ркп.Воскр.м.	Зап. на ркп.Воскр.м.	100
Зап. о разлуч.	Зап. О разлуч.	100
Зап. о разрис. Сп.-Пр. цер.	no match	probability was too low
Зап. при кн. Упыр.	no match	probability was too low
Зап. прик. людей	Зап.прик.людей	95
Зап. руб.	Зап.руб.	95
Зап. цер.	Зап.цер.	95
Зап.(Г.)	Зап. (Г.)	95
Зап.(С.)	Зап. (С.)	95
Зап.Луговского	Зап.Луговского	100
Зап.кн.креп.а.	Зап.кн.креп.а.	100
Зап.прик. людей	Зап.прик.людей	97
Зап.прик.людей	Зап.прик.людей	100
Зап.прих.людей.	no match	probability was too low
Запись	no match	probability was too low
Зас. черта	Зас.черта	95
Зах. II. 1	no match	probability was too low
Зах. VI. 2	no match	probability was too low
Зах. XI. 17	no match	probability was too low
Зем. пр.	no match	probability was too low
Земск. соб.	Земск.соб.	95
Зерцал.	no match	probability was too low
Зизаний. Грам.	Зизаний.Грам.	96
Зин. Отен. Истины показ.	Зин.Отен.Истины показ.	95
Зин. Отен. Нов. посл.	Зин.Отен.Нов.посл.	95
Зин. Отен. Посл. многосл.	Зин.Отен.Посл. многосл.	96
Зин. Отен. Просл. Ник.	Зин.Отен.Просл.Ник.	95
Зин. Отен. Сл. об Ипатии	Зин.Отен. об Ипатии	95
Зин. Отен. Сл. ч. Ионы Новг.	Зин.Отен.Сл.ч.Ионы Новг.	95
Зин. Отен. сл. ч. Ионы Новг.	Зин.Отен.Сл.ч.Ионы Новг.	95
Зин.Отен.Сл. и ч. Ионы Новг.	Зин.Отен.Сл.ч.Ионы Новг.	95
Зл. цеп. д.	no match	probability was too low
Зл. цепь	no match	probability was too low
Зластостр.	Златостр.	94
Зластостр.3	no match	probability was too low
Злат. цеп.	no match	probability was too low
Злат. цеп. д.	no match	probability was too low
Златостр.	Златостр.	100
Златостр. (Мал.)	Златостр. (Мал.)	100
Златостр. XII в.	no match	probability was too low
Златостр. Ак. н.	no match	probability was too low
Златостр. д.	Златостр.	95
Златостр. сл.	no match	probability was too low
Златостр.1	Златостр.1	100
Златостр.2	Златостр.2	100
Златостр.3	Златостр.	95
Златостр.4	Златостр.4	100
Златостр3.	Златостр.	94
Златоструй	no match	probability was too low
Златоструй.	no match	probability was too low
Златоструй3	no match	probability was too low
Златоуст	no match	probability was too low
Зос. С. ч	Зос.С.ч.	95
Зос. С. ч.	Зос.С.ч.	95
Зос. С. чч.	Зос.С.чч.	95
Зос.С.ч.	Зос.С.ч.	100
Зос.С.чч.	Зос.С.чч.	100
Зот. Разг. адм.	Зот.Разг.адм.	95
З?ло злочестно есть. Гражд. об. дет.	no match	probability was too low
И б? ей нев?рно веление. Палея ист.	no match	probability was too low
И всего за Иваномъ... пять пустошей. Моск. припр. кн.	no match	probability was too low
И кто сей есть истенный бог. Пов. Петре Орд.1	no match	probability was too low
И недодано ему въ окладъ 269 чети съ осминою. Д. Моск. пом. пр.	no match	probability was too low
И о. екз. Бог.	no match	probability was too low
И останокъ дасть мужеви испити. Требник	no match	probability was too low
И прозваша Олга вещии. Радзив. лет.	no match	probability was too low
И сниде ничимъ же вредимь. Патерик Печ.	no match	probability was too low
И то будетъ ... начало лживыхъ пророкъ. Беседа Вал.1	no match	probability was too low
И т?мъ назмомъ землю назмятъ. Косм. Арс.	no match	probability was too low
И. Дамаскин	И.Дамаскин	95
И. Дамаскин.	И.Дамаскин	95
И. Сир.	no match	probability was too low
И. Тим.	no match	probability was too low
ИСЗ	no match	probability was too low
Иак. III, 9—10	no match	probability was too low
Иак. Бор. Гл.	no match	probability was too low
Иак. Ист.	no match	probability was too low
Иак. Паз.	no match	probability was too low
Иак. ист.	no match	probability was too low
Иак. посл. Дм. п.	no match	probability was too low
Ибо мы за младоумство еще нев?жди суще. Азб.	no match	probability was too low
Ив. Гр. Пис.	Ив.Гр.Пис.	95
Ив. Гр. Посл.	Ив.Гр.Посл.	95
Ив. Гр. королю швед.	Ив.Гр.королю швед.	95
Ив. Гр. новг. гр.	Ив.Гр.новг.гр.	95
Ив. Пересветов	Ив.Пересветов	96
Ив. Пересветов, Соч.	Ив.Пересветов	95
Ив. Пересветов.	Ив.Пересветов	96
Ив. Пересветов. Соч.	Ив.Пересветов	95
Ив.Гр. Посл.	Ив.Гр.Посл.	95
Ив.Гр.Посл.	Ив.Гр.Посл.	100
Ив.Пересветов	Ив.Пересветов	100
Иванов	Иванов	100
Игн. Бог. посл.	no match	probability was too low
Ие. екз. Бог.	no match	probability was too low
Иез.	no match	probability was too low
Иез. I. 13	no match	probability was too low
Иер.	no match	probability was too low
Иер. LI, 53	no match	probability was too low
Иер. XXXII. 2	no match	probability was too low
Иер. XXXIV, 8	no match	probability was too low
Иер. XXXVI, 22	no match	probability was too low
Иерей потурчившийся	Иерей потурчившийся	100
Иерус. огл.	no match	probability was too low
Из.Св. 1073 г.	no match	probability was too low
Изб Св. 1073 г.	Изб.Св.1073 г.	96
Изб.	no match	probability was too low
Изб. (Бод.)	Изб. (Бод.)	100
Изб. 1073 г.	Изб.Св.1073 г.	95
Изб. 1076 г.	Изб.Св.1076 г.	95
Изб. Cб. 1073 г.	no match	probability was too low
Изб. Сб. 1073 г.	no match	probability was too low
Изб. Св.	no match	probability was too low
Изб. Св. .	no match	probability was too low
Изб. Св. 1073 г.	Изб.Св.1073 г.	95
Изб. Св. 1073 г.1	Изб.Св.1073 г.	95
Изб. Св. 1073 г.2	Изб.Св.1073 г.	95
Изб. Св. 1073 г.2.	Изб.Св.1073 г.	95
Изб. Св. 1076	Изб.Св.1076 г.	95
Изб. Св. 1076 г.	Изб.Св.1076 г.	95
Изб. Св.1073 г.	Изб.Св.1073 г.	96
Изб. Св.1073 г.2	Изб.Св.1073 г.2	97
Изб. Св.1076 г.	Изб.Св.1076 г.	96
Изб. Св.2	no match	probability was too low
Изб. в. 1073 г.	no match	probability was too low
Изб. д.	no match	probability was too low
Изб.Св.	no match	probability was too low
Изб.Св. 1073 г.	Изб.Св.1073 г.	96
Изб.Св. 1073 г.1	Изб.Св.1073 г.1	97
Изб.Св. 1073 г.2	Изб.Св.1073 г.2	97
Изб.Св. 1076 г.	Изб.Св.1076 г.	96
Изб.Св.1073 г.	Изб.Св.1073 г.	100
Изб.Св.1073 г.1	Изб.Св.1073 г.1	100
Изб.Св.1073 г.2	Изб.Св.1073 г.2	100
Изб.Св.1076 г.	Изб.Св.1076 г.	100
Изв. Св. 1073 г.	no match	probability was too low
Извет о Тобол. воев.	Извет о Тобол.воев.	97
Извет о тобол. воев.	Извет о Тобол.воев.	97
Изм.	Изм.	100
Измар.	no match	probability was too low
Иис. Нав.	no match	probability was too low
Иис. Нав. VII. 9	no match	probability was too low
Иис. Нав. X. 6	no match	probability was too low
Ил. Новг. Поуч.	no match	probability was too low
Илар. Зак. Благ.	no match	probability was too low
Илар. Исп. вер.	no match	probability was too low
Илар. Исп. веры	Илар.Исп.веры	95
Илар. Посл.	no match	probability was too low
Илар. Сл.	Сл.Илар.	95
Ильи	no match	probability was too low
Имена знам. столп.	Имена знам.столп.	97
Имена знам.столп.	Имена знам.столп.	100
Ин. Сказ.	Ин.сказ.	95
Ин. сказ.	Ин.сказ.	95
Ин.Сказ.	Ин.сказ.	100
Ин.сказ.	Ин.сказ.	100
Иннок. Зап.	Иннок.Зап.	95
Иннок.Зап.	Иннок.Зап.	100
Инстр. Немчинову	Инстр.Немчинову	97
Ио . екз. Бог.	Ио.екз.Бог.	95
Ио екз. Бог.	Ио.екз.Бог.	95
Ио, Леств.1	Ио.Леств.	95
Ио. JIeCTB.1	no match	probability was too low
Ио. X, 1	no match	probability was too low
Ио. Дам. диал. пер. Ио. екз.	no match	probability was too low
Ио. Дам. пер. Ио. екз.	no match	probability was too low
Ио. Дом. перев. Ио. екз.	no match	probability was too low
Ио. Екз. Бог.1	Ио.екз.Бог.	95
Ио. Злат.	Ж.Ио.Злат.	95
Ио. Злат. Ант.	no match	probability was too low
Ио. Злат. Сл. въ св. пят.	no match	probability was too low
Ио. Злат. Сл. о Ио. Пр. Мин. чет. июн.	no match	probability was too low
Ио. Злат. Сл. о Ио. пр. Мин. чет. июн.	no match	probability was too low
Ио. Злат. въ Сбор. Троиц.	no match	probability was too low
Ио. Лест.	no match	probability was too low
Ио. Леств.	Ио.Леств.	95
Ио. Леств.1	Ио.Леств.	95
Ио. Леств.3	Ио.Леств.	95
Ио. Л?ст.	no match	probability was too low
Ио. Митр. поcл. Клим.	no match	probability was too low
Ио. екз.	Ио.екз.Бог.	95
Ио. екз. Бoг.1	no match	probability was too low
Ио. екз. Бог.	Ио.екз.Бог.	95
Ио. екз. Бог.1	Ио.екз.Бог.	95
Ио. екз. Бог.1 I	Ио.екз.Бог.1, I	95
"Ио. екз. Бог.;"	Ио.екз.Бог.	95
Ио. екз. Бог1	no match	probability was too low
Ио. екз. Бог1.	no match	probability was too low
Ио. екз. Шест	no match	probability was too low
Ио. екз. Шест.	no match	probability was too low
Ио. екз. Шест.1	no match	probability was too low
Ио. екз.Бог.	Ио.екз.Бог.	95
Ио.Екз. Бог.1	Ио.екз.Бог.	95
Ио.Леств.1	Ио.Леств.1	100
Ио.екз. Бог.	Ио.екз.Бог.	95
Ио.екз. Бог.1	Ио.екз.Бог.	95
Ио.екз.Бог.1	Ио.екз.Бог.	95
Иоан.	no match	probability was too low
Иоас. корм.	no match	probability was too low
Иоас. сб.	no match	probability was too low
Иоас.корм.	no match	probability was too low
Иоасаф. лет.	no match	probability was too low
Иоасаф.лет.	no match	probability was too low
Иов.	no match	probability was too low
Иов. Ап. Тир.	no match	probability was too low
Иов. И. и Февронии1	no match	probability was too low
Иов. Кат.-Ростовского	no match	probability was too low
Иов. Ульян. Осор.	no match	probability was too low
Иов., XIII, 12	no match	probability was too low
Иова	no match	probability was too low
Иок. екз. Шест.	no match	probability was too low
Ионы мт. ч.	no match	probability was too low
Ионы мт.ч.	Ион.мт.Ч.	94
Иос. Вол. Посл.	Иос.Вол.Посл.	95
Иос. Вол. Посл. Кут.	Иос.Вол.Посл.Кут.	95
Иос. Вол. Посл. Тр.	Иос.Вол.Посл.Тр.	95
Иос. Вол. Просветитель	Иос.Вол.Просветитель	95
Иос. Вол. Сл. об.	Иос.Вол.Сл.об.	95
Иос. Корм.	no match	probability was too low
Иос.Вол. Просветитель	Иос.Вол.Просветитель	98
Иос.Вол.Посл.	Иос.Вол.Посл.	100
Иос.Вол.Просветитель	Иос.Вол.Просветитель	100
Иосиф	Иосиф	100
Ипат лет.	Ипат.лет.	100
Ипат. лет.	Ипат.лет.	95
Ипат. лет..	Ипат.лет.	95
Ипат.лет.	Ипат.лет.	100
Ипол. Дан.	no match	probability was too low
Иппол. Дан.	no match	probability was too low
Ирм.	no match	probability was too low
Ирм. (Алф.)	no match	probability was too low
Ирм. (Амф.)	Ирм. (Амф.)	100
Ирм. (К.)	Ирм. (К.)	100
Ирм. Boскр.	no match	probability was too low
Ирм. Воскр.	Ирм.Воскр.	95
Ирм. Сол. м.	Ирм.Сол.м.	95
Ирм. о.	no match	probability was too low
Ирм. ок.	no match	probability was too low
Ирм. ок. 1250 г.	no match	probability was too low
Ирм. ок. 1250 г.?	no match	probability was too low
Ирм.(Алф.)	no match	probability was too low
Ирм.(Амф.)	Ирм. (Амф.)	95
Ис.	no match	probability was too low
Ис. I, 18	no match	probability was too low
Ис. I, 31	no match	probability was too low
Ис. LII. 15	no match	probability was too low
Ис. LVIII, 12	no match	probability was too low
Ис. LVIII, 6	no match	probability was too low
Ис. LVIII. 5	no match	probability was too low
Ис. VI, 1	no match	probability was too low
Ис. XLIV, 28 (Упыр)	no match	probability was too low
Ис. XX, 5	no match	probability was too low
Ис. XXI, 16	no match	probability was too low
Ис. и Варн.	Ис. и Варн.	100
Исидоров соб.	Исидоров соб.	100
Исих. Пресвит.	no match	probability was too low
Исих. пресв.	no match	probability was too low
Исих. пресв. к Феодул.	no match	probability was too low
Ист.	no match	probability was too low
Ист. Ал. рос. двор.	Ист.Ал.рос.двор.	95
Ист. Пар. Вен.	Ист.Пар.Вен.	95
Ист. Трои	Ист.Трои	95
Ист. Трои1	Ист.Трои1	95
Ист. Троп.1	no match	probability was too low
Ист. ересей	Ист.ересей	95
Ист. коннозав. д. (Зезюл.)	Ист.коннозав.д. (Зезюл.)	96
Ист. куп. Иоан.	Ист.куп.Иоан.	95
Ист. о голом	Ист.о голом	96
Ист. о патр. Иове	Ист. о патр.Иове	97
Ист. песня Смол.	no match	probability was too low
Ист. рос. иер.	Ист.рос.иер. I	95
Ист. рус. флота	Ист.рус.флота	95
Ист. рус. флота. Период Азовский. Приложения, ч. I	no match	probability was too low
Ист. семи мудр.	Ист.семи мудр.	96
Ист. семи мудрецов	no match	probability was too low
Ист. техн. живоп.	Ист.техн.живоп.	95
Ист.Лиц. букварь	no match	probability was too low
Ист.Трои1	Ист.Трои1	100
Ист.ересей	Ист.ересей	100
Ист.семи мудр.	Ист.семи мудр.	100
Истом. Букварь	Истом.Букварь	96
Истом. Букварь (Предисл.)	no match	probability was too low
Истом. Град ц.	no match	probability was too low
Истом. Град. ц.	Истом.Град ц. Карион	95
Истом. Едем	no match	probability was too low
Истом. Екклесия	Истом.Екклесия	97
Истом. Лит. пан.	Истом.Лит.пан.	95
Истом. Лиц. букв.	no match	probability was too low
Истом. Лиц. букварь	Истом.Букварь	95
Истом.Букварь	Истом.Букварь	100
Истом.Град ц.	no match	probability was too low
Истом.Град.ц.	no match	probability was too low
Истом.Лит.пан.	Истом.Лит.пан.	100
Истом.Лиц. букварь	Истом.Лиц.букварь	97
Истом.Лиц.букварь	Истом.Лиц.букварь	100
Истр. Зам.	Истр.Зам.	95
Исх.	no match	probability was too low
Исх. I. 11	no match	probability was too low
Исх. VIII, 3	no match	probability was too low
Исх. XII, 45	no match	probability was too low
Исх. XXII. 2	no match	probability was too low
Исх. XXVII. 4	no match	probability was too low
Исх. XXXV, 21	no match	probability was too low
Исх. Авр.	Исх.Авр.	95
Исх. Авр. (В.)	Исх.Авр. (В.)	96
Итал. д.	Итал.д.	95
Кабард.- рус. д.	Кабард.-рус.д.	95
Кабард.-рус. д.	Кабард.-рус.д.	96
Кабард.-рус.д.	Кабард.-рус.д.	100
Каз. ист.	Каз.ист.	95
Каз. ист.2	Каз.ист.	95
Каз. лет.	Каз.лет.	95
Каз. пр.	no match	probability was too low
Каз. сказ.	Каз.сказ.	95
Каз.ист.	Каз.ист.	100
Каз.лет.	Каз.лет.	100
Как лечить иноземцев	Как лечить иноземцев	100
Как лечить иноземцов	Как лечить иноземцев	95
Калайд.	Калайд.	100
Калайд. Ио. екз.	Калайд.Ио.екз.	95
Калайд.Ио.екз.	Калайд.Ио.екз.	100
Калайдович	no match	probability was too low
Калуж. а.	Калуж.а.	95
Калуж.а.	Калуж.а.	100
Калязин. чел.	Калязин.чел.	96
Калязин.чел.	Калязин.чел.	100
Кам. м.	Кам.м.	95
Кан. на св. Пасху по Соф. рукоп.	no match	probability was too low
Канон Фотия	Канон Фотия	100
Канон руке Ио. Предтечи	Канон руке Ио.Предтечи	98
Канон.	no match	probability was too low
Канон. Новг.	no match	probability was too low
Канон. Салт.	no match	probability was too low
Каноник. Салт.	no match	probability was too low
Каноник. Салт. Исп. инок.	no match	probability was too low
Каноник. Салт. Мол. покаян.	no match	probability was too low
Кар. И. Г. Р.	no match	probability was too low
Кар. ИГР	no match	probability was too low
Карг. чел.	Чел.карг.	95
Карг.чел.	Чел.карг.	95
Карский	Карский	100
Кас. Авн.	no match	probability was too low
Кас.Авн.	no match	probability was too low
Каталог	Каталог	100
Кипр. м. посл. иг. Аф.	no match	probability was too low
Киприан. Ж. мт. Петра	Киприан.Ж.мт.Петра	95
Киприана Ж. мт. Петра	no match	probability was too low
Киприана ж. мт. Петра	no match	probability was too low
Кир. Иер. Огл.	no match	probability was too low
Кир. Конст. сл. на Срет.	no match	probability was too low
Кир. Тур.	Кир.Тур. XV	95
Кир. Тур. (Ер.)	no match	probability was too low
Кир. Тур. (К.)	Кир.Тур. (К.)	96
Кир. Тур. (С.)	Кир.Тур. (С.)	96
Кир. Тур. (Срз.)	Кир.Тур. (Срз.)	96
Кир. Тур. Пис. Вас.	Кир.Тур.Пис.Вас.	95
Кир. Тур. Притч. о чел. душ.	no match	probability was too low
Кир. Тур.(К.)	Кир.Тур. (К.)	95
Кир. Тур.Кир. Тур.	Кир.Тур. XII	95
Кир. арх.	no match	probability was too low
Кир. канон	Кир.канон	95
Кир. канон.	Кир.канон	95
Кир.Иерус.Поуч. огл.	Кир.Иерус.Поуч.огл.	97
Кир.Тур.	Сл.Кир.Тур.	95
Кир.Тур. (К.)	Кир.Тур. (К.)	100
Кирик. Учен.	Кирик.Учен.1	95
Кирик. Учен.1	Кирик.Учен.1	96
Кирик. учен.1	Кирик.Учен.1	96
Кирил. Иерус.	no match	probability was too low
Кирил. Иерус. Огл.	no match	probability was too low
Кирил. Иерус. Огл. (В.)	no match	probability was too low
Кирил. Иерус. Огл. (М).	no match	probability was too low
Кирил. Иерус. огл.	no match	probability was too low
Кирил.Иерус. Поуч.огл.	no match	probability was too low
Кирил.Иерус.Поуч.огл.1	Кир.Иерус.Поуч.огл.1	95
Кирша Дан.	Кирша Дан.	100
Клад. росп. Мор.	Клад.росп.Мор.	95
Клайд.	no match	probability was too low
Клим. Болг. поуч. в Сбор. Троиц.	no match	probability was too low
Климент Смолят.	Климент Смолят.	100
Климент. Смолят.	Климент Смолят.	97
Ключ Тих. Мак.	Ключ Тих.Мак.	96
Ключ. знам.	Ключ знам.	95
Кн прих. Болд. м.	Кн.прих.Болд.м.	95
Кн прих.- расх. Корн. м.	Кн.прих.-расх.Корн.м.	95
Кн. 12 прор.	no match	probability was too low
Кн. 12 прор. (Упырь)	Кн. 12 прор. (Упырь)	100
Кн. XII прор.	no match	probability was too low
Кн. XII прор. (Упырь)	no match	probability was too low
Кн. Б. Чертежа	no match	probability was too low
Кн. Б. Чертежу	Кн.Б.Чертежу	95
Кн. Б. Чертежу (С.)	Кн.Б.Чертежу	95
Кн. Б.Чертежу (С.)	Кн.Б.Чертежу (С.)	97
Кн. Бытия	Кн.Бытия	95
Кн. Елиз. Рам.	Кн.Елиз.Рам.	95
Кн. Енохова	Кн.Енохова	95
Кн. Енохова.	Кн.Енохова	95
Кн. Есфирь	Кн.Есфирь	95
Кн. Законные	Кн.законные	96
Кн. Зап. Моск. ст.	Кн.зап.Моск.ст. I	95
Кн. Ивар. м.	no match	probability was too low
Кн. Ивер. м.	Кн.Ивер.м. I	95
Кн. Ивер.м.	Кн.Ивер.м. I	95
Кн. Иверск. м.	Кн.Иверск.м.	95
Кн. Иова (парим.)	Кн.Иова (парим.)	97
Кн. Моск. Печ. дв.	Кн.Моск.Печ.дв.	95
Кн. Моск. печ. дв.	Кн.Моск.Печ.дв.	95
Кн. Моск. печ. др.	no match	probability was too low
Кн. Огеп.	no match	probability was too low
Кн. Оруж. пал.	Кн.Оруж.пал.	95
Кн. Патр. Каз. пр.	Кн.Патр.каз.пр.	95
Кн. Патр. каз. пр.	Кн.Патр.каз.пр.	95
Кн. Поганкина	Кн.Поганкина	96
Кн. Прор.2	Кн.прор.	95
Кн. Саран. круж. дв.	no match	probability was too low
Кн. Саранск. круж. дв.	Кн.Саранск.круж.дв.	95
Кн. Соликам.	Кн.коп.Соликам.	95
Кн. Солов. вотч. креп.	Кн.Солов.вотч.креп.	95
Кн. Степ.	Кн.степ.	95
Кн. Там. Свир. м.	Кн.там.Свир.м. No 30	95
Кн. Тул. и Каш. зав.	Кн.Тул. и Каш.зав.	95
Кн. Тул. и и Каш. зав.	Кн.Тул. и Каш.зав.	95
Кн. бес.	Авв.Кн.бес.	95
Кн. бытия	Кн.Бытия	95
Кн. гос. нар.	Кн.гос.нар.	95
Кн. денежн. жал. Тюмен.	Кн.денежн.жал.Тюмен.	95
Кн. денежн. жалов. Тюмен.	no match	probability was too low
Кн. доз. Осин.	Кн.доз.Осин.	95
Кн. доз. Твери	Кн.доз.Твери	95
Кн. законные	Кн.законные	96
Кн. законные,	Кн.законные	96
Кн. законные1	Кн.законные1	96
Кн. зап. Аляб.	Кн.зап.Аляб.	95
Кн. зап. Кунгур. воев. избы	Кн.зап.Кунгур.воев.избы	95
Кн. зап. Моск. ст.	Кн.зап.Моск.ст. I	95
Кн. зап. Моск. ст. IV	Кн.зап.Моск.ст. IV	95
Кн. зап. Новг. прик. избы	Кн.зап.Новг.прик.избы	95
Кн. зап. Соликам. Возн. м.	Кн.зап.Соликам.Возн.м.	95
Кн. зап. Соликам. съезж. избы	Кн.зап.Соликам.съезж.избы	95
Кн. зап. о покупке лошадей	Кн.зап. о покупке лошадей	98
Кн. землед.	Кн.землед.	95
Кн. и. Углич. (доп.)	no match	probability was too low
Кн. изд. Тот.	Кн.изд.Тот.	95
Кн. икрян. отд.	Кн.икрян.отд.	95
Кн. ключей	Кн.ключей	95
Кн. кон. пошл.	Кн.кон.пошл.	95
Кн. коп. Дв. там. избы	Кн.коп.Дв.там.избы	95
Кн. коп. Ивер. М.	Кн.коп.Ивер.м.	95
Кн. коп. Ивер. м.	Кн.коп.Ивер.м.	95
Кн. коп. соликам.	Кн.коп.Соликам.	95
Кн. корм. Кир.- Б. м.	Кн.корм.Кир.-Б.м.	95
Кн. корм. Кир.- Б.м.	Кн.корм.Кир.-Б.м.	95
Кн. корм. Кир.-Б. м.	Кн.корм.Кир.-Б.м.	95
Кн. корм. Костр.	Кн.корм.Костр.	95
Кн. круж. дв. Ржев.	Кн.Ржев.круж.дв.	95
Кн. лош. учен.	Кн.лош.учен.	95
Кн. о горн. д.	Кн. о горн.д.	96
Кн. оброчн. Поречск.	no match	probability was too low
Кн. окл. Сиб. гор.	Кн.окл.сиб.гор.	95
Кн. окл. сиб. гор.	Кн.окл.сиб.гор.	95
Кн. описи. Бог. м.	no match	probability was too low
Кн. описи. Кир.-Б. м.	no match	probability was too low
Кн. описн. Бог. м.	Кн.описн.Бог.м.	95
Кн. описн. Кир.- Б. м.	Кн.описн.Кир.-Б.м. I	95
Кн. описн. Кир.-Б. м.	Кн.описн.Кир.-Б.м. I	95
Кн. описн. Кир.-Б. м. I	Кн.описн.Кир.-Б.м. I	95
Кн. описн. Кир.-Б.м.	Кн.описн.Кир.-Б.м. I	95
Кн. описн. Мурм. рыбн. пром.	Кн.описн.Мурм.рыбн.пром.	95
Кн. описн. Саввино-Сторожевск. м.	no match	probability was too low
Кн. описн. Холм. собора	no match	probability was too low
Кн. осмирубл. бору	Кн.осмирубл.бору	95
Кн. отводн. Ивер. м.	Кн.отводн.Ивер.м.	95
Кн. отводн. Иверск. м.	Кн.отводн.Иверск.м.	95
Кн. отводн. Солов. м.	Кн.отводн.Солов.м.	95
Кн. отказн. южновеликорус.	Отказн.кн.южновеликорус.	95
Кн. охот. рег.	Кн.охот.рег.	95
Кн. оцен. Вяз.	no match	probability was too low
Кн. п. Балахн.	Кн.п.Балахн.	95
Кн. п. Бежецк. пят.	no match	probability was too low
Кн. п. Верхоцен.	Кн.п.Верхоцен.	95
Кн. п. Казани	Кн.п.Казани	95
Кн. п. Моск.	Кн.п.Моск. I	95
Кн. п. Ни жегор.	no match	probability was too low
Кн. п. Нижегор.	Кн.п.Нижегор.	95
Кн. п. Обон. пят,.	Кн.п.Обон.пят.	95
Кн. п. Обон. пят.	Кн.п.Обон.пят.	95
Кн. п. Путивл.	Кн.п.Путивл.	95
Кн. п. Рост.	Кн.п.Рост.	95
Кн. п. Ряз.	Ряз.п.кн. I	95
Кн. п. Свир. м.	Кн.п.Свир.м.	95
Кн. п. Тороп.	no match	probability was too low
Кн. п. Торопец.	Кн.п.Торопец.	95
Кн. п. Тот. пр.	no match	probability was too low
Кн. п. Углич (доп.)	Кн.п.Углич. (доп.)	95
Кн. п. Углич, (доп)	Кн.п.Углич. (доп.)	95
Кн. п. Углич, (доп.)	Кн.п.Углич. (доп.)	95
Кн. п. Углич.	Кн.п.Углич.	95
Кн. п. Углич. (доп.)	Кн.п.Углич. (доп.)	95
Кн. п. Усолья Кам.	Кн.п.Усолья Кам. I	95
Кн. п. Уст.	Кн.п.Уст.	95
Кн. п. Хлын.	Кн.п.Хлын.	95
Кн. пpop.1	no match	probability was too low
Кн. патр. каз. пр.	Кн.Патр.каз.пр.	95
Кн. пер. Арханг. артил.	Кн.пер.арханг.артил.	95
